gene_id	color
1553943_at	turquoise
1553944_at	darkorange2
1553945_at	turquoise
1553946_at	turquoise
1553947_at	turquoise
1553949_at	turquoise
1553952_at	turquoise
1553954_at	yellow
1553955_at	turquoise
1553956_at	blue
1553957_at	black
1553959_a_at	blue
1553960_at	green
1553961_s_at	brown
1553962_s_at	blue
1553963_at	grey
1553965_x_at	turquoise
1553967_at	red
1553968_a_at	turquoise
1553970_s_at	black
1553971_a_at	grey
1553972_a_at	brown
1553973_a_at	yellow
1553974_at	turquoise
1553976_a_at	blue
1553977_a_at	blue
1553978_at	greenyellow
1553979_at	blue
1553982_a_at	magenta
1553983_at	brown
1553984_s_at	blue
1553986_at	green
1553987_at	magenta
1553989_a_at	turquoise
1553990_at	turquoise
1553991_s_at	brown
1553992_s_at	grey
1553993_s_at	blue
1553994_at	yellow
1553995_a_at	magenta
1553997_a_at	brown
1553998_at	blue
1554001_at	brown
1554003_at	brown
1554004_a_at	blue
1554006_a_at	grey
1554007_at	brown
1554008_at	turquoise
1554010_at	blue
1554012_at	brown
1554014_at	grey
1554015_a_at	yellow
1554016_a_at	yellow
1554017_at	turquoise
1554018_at	brown
1554019_s_at	blue
1554020_at	blue
1554021_a_at	turquoise
1554022_at	turquoise
1554023_s_at	turquoise
1554026_a_at	grey
1554027_a_at	red
1554029_a_at	yellow
1554030_at	grey
1554032_at	grey
1554033_at	turquoise
1554034_a_at	grey
1554036_at	brown
1554037_a_at	blue
1554038_at	turquoise
1554039_at	turquoise
1554041_at	turquoise
1554042_s_at	turquoise
1554043_a_at	grey
1554044_a_at	turquoise
1554045_at	turquoise
1554047_at	brown
1554049_s_at	green
1554050_at	yellow
1554052_at	yellow
1554053_at	blue
1554057_at	green
1554059_at	turquoise
1554060_s_at	lightcyan
1554062_at	grey
1554063_at	blue
1554065_at	turquoise
1554067_at	magenta
1554068_s_at	grey
1554069_at	turquoise
